역명,위도,경도,자치구명
용문,37.48223,127.594647,양평군
지평,37.476393,127.629874,양평군
갈매,37.634118,127.114757,구리시
별내,37.64202,127.12684,남양주시
퇴계원,37.648311,127.143952,남양주시
사릉,37.65108,127.176933,남양주시
금곡,37.637382,127.207853,남양주시
평내호평,37.653225,127.244493,남양주시
천마산,37.658978,127.285379,남양주시
마석,37.652782,127.311767,남양주시
대성리,37.684071,127.379319,가평군
청평,37.735488,127.42661,가평군
상천,37.770246,127.454821,가평군
가평,37.814536,127.510739,가평군
굴봉산,37.832067,127.557695,춘천시
백양리,37.830779,127.58933,춘천시
강촌,37.805723,127.634146,춘천시
김유정,37.818466,127.71434,춘천시
남춘천,37.864007,127.723792,춘천시
춘천,37.885054,127.717023,춘천시
청라국제도시,37.556409,126.624648,서구
영종,37.51202,126.524254,중구
운서,37.492904,126.49379,중구
공항화물청사,37.459041,126.477516,중구
인천공항1터미널,37.447464,126.452508,중구
인천공항2터미널,37.460699,126.441442,중구
원종,37.5239,126.8049,부천시 오정구
소새울,37.468467,126.797252,부천시 소사구
시흥대야,37.450145,126.793041,시흥시
신천,37.439066,126.786788,시흥시
신현,37.409008,126.788017,시흥시
시흥시청,37.382223,126.805625,시흥시
시흥능곡,37.369864,126.808573,시흥시
달미,37.348847,126.809409,안산시 단원구
선부,37.334353,126.809904,안산시 단원구
시우,37.31321,126.796261,안산시 단원구
원시,37.302371,126.786691,안산시 단원구
서울숲,37.543617,127.044707,성동구
압구정로데오,37.527381,127.040534,강남구
한티,37.496237,127.052873,강남구
구룡,37.486839,127.058856,강남구
개포동,37.489116,127.06614,강남구
대모산입구,37.491373,127.07272,강남구
가천대,37.448605,127.126697,성남시 수정구
태평,37.440019,127.127709,성남시 수정구
야탑,37.411185,127.128715,성남시 분당구
서현,37.385126,127.123592,성남시 분당구
수내,37.378455,127.114322,성남시 분당구
정자,37.365994,127.10807,성남시 분당구
미금,37.350077,127.10891,성남시 분당구
오리,37.339824,127.108942,성남시 분당구
죽전,37.324753,127.107395,용인시 수지구
보정,37.312752,127.108196,용인시 기흥구
구성,37.298969,127.105664,용인시 기흥구
신갈,37.286102,127.111313,용인시 기흥구
기흥,37.275061,127.11591,용인시 기흥구
상갈,37.26181,127.108847,용인시 기흥구
청명,37.259489,127.078934,수원시 영통구
영통,37.251568,127.071394,수원시 영통구
망포,37.245795,127.057353,수원시 영통구
매탄권선,37.252759,127.040566,수원시 영통구
수원시청,37.261911,127.030736,수원시 권선구
매교,37.265481,127.015678,수원시 팔달구
고색,37.24963,126.980248,수원시 권선구
오목천,37.24304,126.963676,수원시 권선구
어천,37.250102,126.90879,화성시
야목,37.264179,126.879483,화성시
사리,37.28998,126.85685,안산시 상록구
달월,37.379681,126.745177,시흥시
월곶,37.391769,126.742699,시흥시
소래포구,37.40095,126.733522,남동구
인천논현,37.400614,126.722478,남동구
호구포,37.401637,126.708627,남동구
남동인더스파크,37.407722,126.695216,남동구
연수,37.417804,126.67894,연수구
송도,37.428514,126.657772,연수구
인하대,37.448493,126.649619,미추홀구
숭의,37.460789,126.638297,미추홀구
신포,37.46874,126.623853,중구
양재시민의숲,37.470023,127.03842,서초구
청계산입구,37.447211,127.055664,서초구
동천,37.337928,127.102976,용인시 수지구
수지구청,37.322702,127.095026,용인시 수지구
성복,37.313335,127.0801,용인시 수지구
상현,37.297664,127.069342,용인시 수지구
광교중앙,37.288617,127.051478,수원시 영통구
광교,37.30211,127.044483,수원시 영통구
서울지방병무청,37.5060464,126.9227083,영등포구
보라매공원,37.4955691,126.9180827,동작구
보라매병원,37.4929598,126.9234964,동작구
당곡,37.4902998,126.9275133,관악구
서원,37.4782341,126.9330365,관악구
서울대벤처타운,37.4720019,126.9339351,관악구
관악산,37.4691018,126.9450639,관악구
정릉,37.603133,127.013396,성북구
북한산보국문,37.612072,127.008251,성북구
솔샘,37.620238,127.013626,강북구
삼양사거리,37.621337,127.020473,강북구
삼양,37.626914,127.018106,강북구
화계,37.634133,127.017511,강북구
가오리,37.641537,127.016789,강북구
4.19민주묘지,37.649502,127.013684,강북구
솔밭공원,37.65603,127.013273,강북구
북한산우이,37.662909,127.012706,강북구
고촌,37.601243,126.770345,김포시
풍무,37.612488,126.732387,김포시
사우,37.620249,126.719731,김포시
걸포북변,37.63165,126.705975,김포시
운양,37.653867,126.68393,김포시
장기,37.643986,126.669017,김포시
마산,37.640732,126.644344,김포시
구래,37.645384,126.628633,김포시
양촌,37.642379,126.614309,김포시
강남대,37.270161,127.126033,용인시 기흥구
지석,37.269606,127.136515,용인시 기흥구
어정,37.274917,127.143714,용인시 기흥구
동백,37.269043,127.152716,용인시 기흥구
초당,37.260752,127.159443,용인시 기흥구
삼가,37.242115,127.168075,용인시 처인구
시청.용인대,37.239151,127.178406,용인시 처인구
명지대,37.237964,127.190294,용인시 처인구
김량장,37.237247,127.198781,용인시 처인구
용인중앙시장,37.237845,127.209198,용인시 처인구
고진,37.24484,127.214251,용인시 처인구
